"BEST Undertaking
Route details: -  7006",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
DOWN,0,MIRA ROAD STATION,,,29263,,19.281462,72.858059
DOWN,1,JAIN MANDIR,,,29189,,19.280082,72.862322
DOWN,2,TERAPANTH NAGAR,,,29379,,19.278529,72.863407
DOWN,3,MIRA ROAD SECTOR NO.8,,,29381,,19.277211,72.86552
DOWN,4,APNA BAZAR,,,29020,,19.275162,72.867976
DOWN,5,SURYA SHOPPING CENTRE,,,29437,,19.274277,72.869327
DOWN,6,SRUSHTI POLICE STATION,,,29313,,19.271178,72.867759
DOWN,7,ROYAL COLLEGE,,,29341,,19.269725,72.870709
DOWN,8,SHANTI DHAM,,,29388,,19.270701,72.873106
DOWN,9,ROYAL PARK,,,29342,,19.270946,72.87537
DOWN,10,SHRIKRISHNA GARDEN SOCIETY,,,29407,,19.269736,72.876122
DOWN,11,MIDC MIRA ROAD,,,29256,,19.266674,72.876932
DOWN,12,MAHAVISHNU MANDIR,,,29236,,19.265246,72.875705
DOWN,13,GOLDEN CHEMICALS,,,29167,,19.262092,72.873614
DOWN,14,DAHISAR CHECK NAKA,,,29110,,19.257773,72.871885
DOWN,15,KETAKI PADA,,,29214,,19.255848,72.869356
DOWN,16,NOVELTY SILK MILL,,,29292,,19.253497,72.865476
DOWN,17,RAJASHREE CINEMA,,,29322,,19.250967,72.863671
DOWN,18,DAHISAR STATION ROAD (E),,,29113,,19.249412,72.863034
DOWN,19,MANAV KALYAN KENDRA,,,29240,,19.245716,72.861067
DOWN,20,PARVAT NAGAR,,,29305,,19.243168,72.860137
DOWN,21,AMBAWADI,,,29007,,19.240512,72.859653
DOWN,22,DAULAT NAGAR,,,29122,,19.236402,72.859266
DOWN,23,BORIVALI PHATAK (E),,,29073,,19.233781,72.858117
DOWN,24,BORIVALI STATION (E),,,29076,,19.231549,72.85769
DOWN,25,BORIVALI STATION (E),,,29078,,19.231279,72.858546
DOWN,26,OMKARESHWAR MANDIR,,,29520,,19.229881,72.863502
DOWN,27,DEVIPADA,,,29124,,19.224606,72.864466
DOWN,28,MAGATHANE DEPOT,,,29228,,19.220587,72.865933
DOWN,29,MAGATHANE TELEPHONE EXCHANGE,,,29254,,19.216079,72.867485
DOWN,30,SHREE KOTESHWARI MANDIR,,,29221,,19.214129,72.868827
DOWN,31,DATTANI PARK (INSIDE),,,29116,,19.211717,72.869304
DOWN,32,VICEROY PARK,,,29462,,19.21039,72.871178
DOWN,33,THAKUR CINEMA,,,29442,,19.210002,72.873118
DOWN,34,AANGAN,,,29018,,19.208105,72.87291
DOWN,35,THAKUR COLLEGE,,,29444,,19.206136,72.872769
DOWN,36,SAIBABA MANDIR (SAMATA NAGAR),,,29353,,19.205719,72.871552
DOWN,37,SAMATA NAGAR BUS STATION (KANDIVALI-E),,,29362,,19.206496,72.869944
,,,,,,,,
"BEST Undertaking
Route details: -  7051",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7051,U7051,,,,
UP,0,DINDOSHI BUS STATION,,,25060,,19.176148,72.865701
UP,1,GENERAL ARUN KUMAR VAIDYA MARG JUNCTION,,,25006,,19.174547,72.861195
UP,2,PATHANWADI,,,25227,,19.178285,72.858274
UP,3,KURAR VILLAGE,,,25156,,19.185955,72.858175
UP,4,PUSHPA PARK,,,25248,,19.18965,72.858239
UP,5,BANDONGRI,,,25037,,19.199869,72.860876
UP,6,"MAHINDRA COMPANY GATE ; B.H.A.
D. COLONY",,,29043,,19.206819,72.866283
UP,7,DATTANI PARK,,,29117,,19.211545,72.86841
UP,8,MAGATHANE TELEPHONE EXCHANGE,,,29255,,19.216124,72.867105
UP,9,MAGATHANE DEPOT,,,29230,,19.220523,72.865505
UP,10,DEVIPADA,,,29125,,19.225952,72.863666
UP,11,OMKARESHWAR MANDIR,,,29297,,19.230486,72.863131
UP,12,BORIVALI STATION (E),,,29096,,19.231549,72.857681
UP,13,BORIVALI PHATAK (E),,,29074,,19.233835,72.858041
UP,14,DAULAT NAGAR,,,29123,,19.236438,72.859171
UP,15,AMBAWADI,,,29008,,19.241136,72.859653
UP,16,PARVAT NAGAR,,,29306,,19.243485,72.860023
UP,17,MANAV KALYAN KENDRA,,,29241,,19.245734,72.860877
UP,18,DAHISAR STATION ROAD (E),,,29114,,19.248599,72.862512
UP,19,RAJASHREE CINEMA,,,29323,,19.250985,72.863518
UP,20,DAHISAR POLICE STATION,,,29550,,19.253289,72.865144
UP,21,NOVELTY SILK MILL,,,29293,,19.254763,72.867055
UP,22,KETAKI PADA,,,29215,,19.255884,72.869223
UP,23,DAHISAR CHECK NAKA,,,29111,,19.258568,72.871875
UP,24,GOLDEN CHEMICALS,,,29168,,19.263068,72.873747
UP,25,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.265255,72.875353
UP,26,MIRA GAONTHAN,,,29472,,19.267496,72.877065
UP,27,TRANSPORT CORPORATION,,,29441,,19.269602,72.878652
UP,28,KASHIMIRA,,,29208,,19.27291,72.883512
UP,29,NEELKAMAL NAKA,,,29282,,19.273408,72.885395
UP,30,SAIKRUPA COMPLEX,,,29350,,19.27152,72.886071
UP,31,ANGAN WADI MANALI VILLAGE,,,29239,,19.269605,72.886415
UP,32,ST.XAVIERS HIGH SCHOOL,,,29426,,19.269533,72.88826
UP,33,NEW GREEN WOOD GARDAN,,,29563,,19.270049,72.889506
UP,34,AGRAWAL GREEN VILLAGE,,,29174,,19.270564,72.890467
UP,35,NILKANT APARTMENT,,,29561,,19.271982,72.88921
UP,36,WESTERN PARK,,,29467,,19.273609,72.890599
,,,7051,D7051,,,,
DOWN,0,WESTERN PARK,,,29466,,19.273591,72.890589
DOWN,1,NILKANT APARTMENT,,,29562,,19.271874,72.889344
DOWN,2,AGRAWAL GREEN VILLAGE,,,29173,,19.27098,72.890581
DOWN,3,NEW GREEN WOOD GARDAN,,,29564,,19.270166,72.889601
DOWN,4,ST.XAVIERS HIGH SCHOOL,,,29425,,19.269552,72.888308
DOWN,5,ANGAN WADI MANALI VILLAGE,,,29238,,19.269551,72.886424
DOWN,6,SAIKRUPA COMPLEX,,,29349,,19.271656,72.885995
DOWN,7,NEELKAMAL NAKA,,,29281,,19.273354,72.885414
DOWN,8,KASHIMIRA,,,29207,,19.271482,72.882209
DOWN,9,TRANSPORT CORPORATION,,,29440,,19.269331,72.87908
DOWN,10,MIRA GAONTHAN,,,29473,,19.267035,72.87716
DOWN,11,MAHAVISHNU MANDIR,,,29236,,19.265174,72.875734
DOWN,12,GOLDEN CHEMICALS,,,29167,,19.262092,72.873633
DOWN,13,DAHISAR CHECK NAKA,,,29110,,19.257827,72.871714
DOWN,14,KETAKI PADA,,,29214,,19.255848,72.869308
DOWN,15,NOVELTY SILK MILL,,,29292,,19.253497,72.865476
DOWN,16,RAJASHREE CINEMA,,,29322,,19.250994,72.863604
DOWN,17,DAHISAR STATION ROAD (E),,,29113,,19.249467,72.863006
DOWN,18,MANAV KALYAN KENDRA,,,29240,,19.245762,72.860963
DOWN,19,PARVAT NAGAR,,,29305,,19.243141,72.860051
DOWN,20,AMBAWADI,,,29007,,19.240575,72.859606
