,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,direction,from_stop_no,from_lat,from_long,to_lat,to_long,to_stop_no
154,7006,marathon chowk teen hath naka,golden chemicals,3,60,down,56,19.187546,72.964029,19.263041,72.873794,15
155,7006,nency colony,golden chemicals,14,70,up,9,19.237912,72.863431,19.263041,72.873794,15
156,7006,omkareshwar mandir,golden chemicals,11,55,up,7,19.231425,72.862322,19.263041,72.873794,15
157,7006,ovale village,golden chemicals,6,90,down,32,19.276025,72.959046,19.263041,72.873794,15
158,7006,thane station east,golden chemicals,23,460,down,61,19.18517,72.97561,19.263041,72.873794,15
159,7006,transport corporation,golden chemicals,2,10,down,18,19.269584,72.878662,19.263041,72.873794,15
160,7006,versova bridge,golden chemicals,4,20,down,24,19.284969,72.904808,19.263041,72.873794,15
161,7006,waghbil,golden chemicals,3,60,down,41,19.252563,72.972696,19.263041,72.873794,15
162,7006,western hotel laxmi baug,golden chemicals,13,65,down,21,19.27639,72.888952,19.263041,72.873794,15
163,7006,anand nagar,jain mandir versova,1,10,down,37,19.264687,72.967836,19.285383,72.899832,23
164,7006,borivali station east,jain mandir versova,6,60,up,5,19.227846,72.857949,19.285383,72.899832,23
165,7006,gartan pada,jain mandir versova,1,10,up,13,19.252261,72.867912,19.285383,72.899832,23
166,7006,golden chemicals,jain mandir versova,2,10,up,15,19.263041,72.873794,19.285383,72.899832,23
167,7006,nency colony,jain mandir versova,1,10,up,9,19.237912,72.863431,19.285383,72.899832,23
168,7006,omkareshwar mandir,jain mandir versova,1,10,up,7,19.231425,72.862322,19.285383,72.899832,23
169,7006,anand nagar,kajupada,14,140,down,37,19.264687,72.967836,19.279093,72.922685,26
170,7006,bhayandar pada,kajupada,2,10,down,30,19.283685,72.952358,19.279093,72.922685,26
171,7006,borivali station east,kajupada,18,270,up,5,19.227846,72.857949,19.279093,72.922685,26
172,7006,cadbury junction thane,kajupada,2,30,down,53,19.203952,72.968584,19.279093,72.922685,26
173,7006,chena bridge,kajupada,1,5,up,25,19.275712,72.916131,19.279093,72.922685,26
174,7006,gaimukh,kajupada,1,5,down,28,19.2854,72.936384,19.279093,72.922685,26
175,7006,gartan pada,kajupada,17,170,up,13,19.252261,72.867912,19.279093,72.922685,26
