,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
111,7015,mira road station,dahisar station road east,6,60,29263,19.281462,72.858059,19.281462,72.858059
112,7015,mira road station,daulat nagar,8,80,29263,19.281462,72.858059,19.281462,72.858059
113,7015,mira road station,golden chemicals,39,390,29263,19.281462,72.858059,19.281462,72.858059
114,7015,mira road station,jammu and kashmir bank or jangid circle,7,35,29263,19.281462,72.858059,19.281462,72.858059
115,7015,mira road station,kashi mira,196,980,29263,19.281462,72.858059,19.281462,72.858059
116,7015,mira road station,ketaki pada,23,230,29263,19.281462,72.858059,19.281462,72.858059
117,7015,mira road station,magathane depot,9,135,29263,19.281462,72.858059,19.281462,72.858059
118,7015,mira road station,magathane telecom exchange,2,30,29263,19.281462,72.858059,19.281462,72.858059
119,7015,mira road station,mahindra company gate or b h a d colony,4,60,29263,19.281462,72.858059,19.281462,72.858059
120,7015,mira road station,novelty silk mill,14,140,29263,19.281462,72.858059,19.281462,72.858059
121,7015,mira road station,omkareshwar mandir,8,120,29263,19.281462,72.858059,19.281462,72.858059
122,7015,mira road station,samata nagar bus station kandivali east,31,465,29263,19.281462,72.858059,19.281462,72.858059
123,7015,mira road station,transport corporation,370,1850,29263,19.281462,72.858059,19.281462,72.858059
124,7015,novelty silk mill,apna bazar,29,145,29293,19.254763,72.867036,19.254763,72.867036
125,7015,novelty silk mill,borivali station east,74,370,29293,19.254763,72.867036,19.254763,72.867036
126,7015,novelty silk mill,dahisar station road east,2,10,29293,19.254763,72.867036,19.254763,72.867036
127,7015,novelty silk mill,daulat nagar,31,155,29293,19.254763,72.867036,19.254763,72.867036
128,7015,novelty silk mill,golden chemicals,10,50,29293,19.254763,72.867036,19.254763,72.867036
129,7015,novelty silk mill,kashi mira,1,10,29293,19.254763,72.867036,19.254763,72.867036
130,7015,novelty silk mill,magathane depot,68,340,29293,19.254763,72.867036,19.254763,72.867036
131,7015,novelty silk mill,magathane telecom exchange,1,10,29293,19.254763,72.867036,19.254763,72.867036
132,7015,novelty silk mill,mahindra company gate or b h a d colony,7,70,29293,19.254763,72.867036,19.254763,72.867036
133,7015,novelty silk mill,mira road station east,53,265,29293,19.254763,72.867036,19.254763,72.867036
134,7015,novelty silk mill,omkareshwar mandir,9,45,29293,19.254763,72.867036,19.254763,72.867036
135,7015,novelty silk mill,samata nagar bus station kandivali east,24,240,29293,19.254763,72.867036,19.254763,72.867036
136,7015,novelty silk mill,srushti,8,40,29293,19.254763,72.867036,19.254763,72.867036
137,7015,omkareshwar mandir,apna bazar,4,40,29298,19.231425,72.862322,19.231425,72.862322
138,7015,omkareshwar mandir,borivali station east,3,15,29298,19.231425,72.862322,19.231425,72.862322
139,7015,omkareshwar mandir,dahisar station road east,16,80,29298,19.231425,72.862322,19.231425,72.862322
140,7015,omkareshwar mandir,golden chemicals,2,20,29298,19.231425,72.862322,19.231425,72.862322
141,7015,omkareshwar mandir,kashi mira,1,15,29298,19.231425,72.862322,19.231425,72.862322
142,7015,omkareshwar mandir,ketaki pada,7,35,29298,19.231425,72.862322,19.231425,72.862322
143,7015,omkareshwar mandir,magathane depot,4,20,29298,19.231425,72.862322,19.231425,72.862322
144,7015,omkareshwar mandir,mahindra company gate or b h a d colony,1,5,29298,19.231425,72.862322,19.231425,72.862322
145,7015,omkareshwar mandir,mira road station east,11,110,29298,19.231425,72.862322,19.231425,72.862322
146,7015,omkareshwar mandir,novelty silk mill,16,80,29298,19.231425,72.862322,19.231425,72.862322
147,7015,omkareshwar mandir,samata nagar bus station kandivali east,52,275,29298,19.231425,72.862322,19.231425,72.862322
148,7015,omkareshwar mandir,srushti,8,80,29298,19.231425,72.862322,19.231425,72.862322
149,7015,samata nagar bus station kandivali east,apna bazar,22,330,29468,19.206911,72.869573,19.206911,72.869573
150,7015,samata nagar bus station kandivali east,borivali station east,256,1280,29468,19.206911,72.869573,19.206911,72.869573
151,7015,samata nagar bus station kandivali east,dahisar station road east,31,310,29468,19.206911,72.869573,19.206911,72.869573
152,7015,samata nagar bus station kandivali east,daulat nagar,7,70,29468,19.206911,72.869573,19.206911,72.869573
153,7015,samata nagar bus station kandivali east,golden chemicals,11,110,29468,19.206911,72.869573,19.206911,72.869573
154,7015,samata nagar bus station kandivali east,jammu and kashmir bank or jangid circle,5,75,29468,19.206911,72.869573,19.206911,72.869573
155,7015,samata nagar bus station kandivali east,kashi mira,2,40,29468,19.206911,72.869573,19.206911,72.869573
156,7015,samata nagar bus station kandivali east,ketaki pada,6,60,29468,19.206911,72.869573,19.206911,72.869573
157,7015,samata nagar bus station kandivali east,magathane depot,2,10,29468,19.206911,72.869573,19.206911,72.869573
158,7015,samata nagar bus station kandivali east,mahindra company gate or b h a d colony,1,5,29468,19.206911,72.869573,19.206911,72.869573
159,7015,samata nagar bus station kandivali east,mira road station east,64,960,29468,19.206911,72.869573,19.206911,72.869573
160,7015,samata nagar bus station kandivali east,novelty silk mill,8,80,29468,19.206911,72.869573,19.206911,72.869573
161,7015,samata nagar bus station kandivali east,omkareshwar mandir,6,30,29468,19.206911,72.869573,19.206911,72.869573
162,7015,samata nagar bus station kandivali east,samata nagar bus station kandivali east,3,60,29468,19.206911,72.869573,19.206911,72.869573
163,7015,samata nagar bus station kandivali east,srushti,12,120,29468,19.206911,72.869573,19.206911,72.869573
164,7015,srushti,borivali station east,3,45,29412,19.270166,72.868625,19.270166,72.868625
165,7015,srushti,dahisar station road east,2,20,29412,19.270166,72.868625,19.270166,72.868625
166,7015,srushti,daulat nagar,2,30,29412,19.270166,72.868625,19.270166,72.868625
167,7015,srushti,jammu and kashmir bank or jangid circle,78,390,29412,19.270166,72.868625,19.270166,72.868625
168,7015,srushti,kashi mira,3,30,29412,19.270166,72.868625,19.270166,72.868625
169,7015,srushti,magathane depot,2,30,29412,19.270166,72.868625,19.270166,72.868625
170,7015,srushti,magathane telecom exchange,1,15,29412,19.270166,72.868625,19.270166,72.868625
171,7015,srushti,mira road station east,265,1325,29412,19.270166,72.868625,19.270166,72.868625
172,7015,srushti,novelty silk mill,3,30,29412,19.270166,72.868625,19.270166,72.868625
173,7015,srushti,samata nagar bus station kandivali east,3,60,29412,19.270166,72.868625,19.270166,72.868625
174,7015,transport corporation,borivali station east,88,880,29441,19.269584,72.878662,19.269584,72.878662
175,7015,transport corporation,dahisar station road east,95,475,29441,19.269584,72.878662,19.269584,72.878662
176,7015,transport corporation,daulat nagar,60,300,29441,19.269584,72.878662,19.269584,72.878662
177,7015,transport corporation,golden chemicals,3,15,29441,19.269584,72.878662,19.269584,72.878662
178,7015,transport corporation,ketaki pada,15,75.06,29441,19.269584,72.878662,19.269584,72.878662
179,7015,transport corporation,magathane depot,6,60,29441,19.269584,72.878662,19.269584,72.878662
180,7015,transport corporation,magathane telecom exchange,2,20,29441,19.269584,72.878662,19.269584,72.878662
181,7015,transport corporation,mahindra company gate or b h a d colony,1,10,29441,19.269584,72.878662,19.269584,72.878662
182,7015,transport corporation,novelty silk mill,10,50,29441,19.269584,72.878662,19.269584,72.878662
183,7015,transport corporation,omkareshwar mandir,3,30,29441,19.269584,72.878662,19.269584,72.878662
184,7015,transport corporation,samata nagar bus station kandivali east,22,220,29441,19.269584,72.878662,19.269584,72.878662
